||2|902 146202|black
16028579||4|902 899 779 364|black
1604200||6|902 899 779 217 245 505|black
160466||8|902 899 779 217 210 249 323 325|black
161|151,26296,32744,42714,44466,50246,51863,53160,55174,63993,64901,67770,73354,74769,80041,106086,107391,108393,122064,122456,122734,133605,135488,136242,136370,138677,145482,155092,166496,197768,207405,219306,223933,229221,244006,300105,315828,316113,316853,320139,334879,349728,360053,373296,382821,475987,545252,610070,636664,694846,707809,756330,805371,825472,839109,853015,898505,926215,991216,1008163,1032570,1116527,1243107,1275523,1343938,1350827,1364730,1471081,1491293,1518722,1530729,1547978,1748706,1836434,1862975,1924726,1949067,1996379,2171200,2379458,2382571,2431130,2439959,2576274,2832813,2838354,3118069,3128201,3424400,3426635,3442091,3846403,4088648,4109544,4469136,4588532,4866201,5878472,5900691,5949085,7391714,7961400,8010716,8101149,8270423,8494747,9128269,10078647,10342241,10971624,11809119,11843973,12432344,12556558,13983896,14063831,14442097,16585965,17692991,18006963,19695154,20522714|9999||white
16112004||4|902 899 779 810|black
16114100||4|902 899 779 364|black
1615||9|902 899 779 217 210 249 323 125 466|black
1616186||6|902 899 779 217 261 881|black
16178372||10|902 899 779 217 210 249 323 125 330 377|gray
161861||5|902 899 779 364 441|black
1619934||10|902 899 779 217 210 249 323 125 466 180|gray
162060||6|902 899 779 217 245 505|black
1621447||7|902 899 779 217 170 349 113|black
1622435||6|902 899 779 217 261 881|black
1622860||5|902 899 779 810 921|black
1624288||6|902 899 779 217 261 898|black
1626||9|902 899 779 217 210 249 323 125 466|black
162814||7|902 899 779 810 921 917 897|black
163|146,147,149,9337,13895,17783,23062,25569,26122,27005,28673,37746,40114,42676,46233,47469,55594,55674,61234,66603,70215,80334,81478,81718,89558,91212,91634,106796,117425,121426,130970,131008,134201,145126,148124,183122,187739,199475,205124,220935,240400,263016,294098,296680,306244,318743,329832,349255,349728,388572,391170,402334,411465,448183,472717,480387,483360,559053,564115,621840,630715,679414,730796,793933,814244,889028,977237,1106549,1183405,1185741,1238407,1243257,1256706,1328884,1366968,1383247,1438392,1461887,1476561,1498379,1686440,1708067,1718978,1843123,1905899,1989507,1994777,2012419,2030271,2099399,2130834,2309407,2340617,2425756,2430575,2543954,3028182,3128580,3495726,3702157,3819797,4534452,5875058,5947199,6092029,6361651,6686699,7601612,9187026,13193510|9999||white
163070||6|902 899 779 364 912 484|black
16313716||10|902 899 779 217 210 249 323 125 330 331|gray
1631920||6|902 899 779 217 245 275|black
1634||9|902 899 779 217 210 249 323 125 466|black
16346||6|902 899 779 217 298 363|black
1637857||4|902 899 779 364|black
16381622||4|902 899 779 795|black
1638359||9|902 899 779 217 210 249 323 125 337|black
164|353060,2119604|9999||white
16409||6|902 899 779 217 219 286|black
1644372||5|902 899 779 364 176|black
1646||9|902 899 779 217 210 249 323 125 466|black
165|101,249,41322,202990,246262,311148,331665,397942,407456,407708,471905,510689,554206,560867,565547,750539,774598,813714,828269,2084139,3664577,3878327,5712642|6|902 899 779 217 210 249|black
1651415||6|902 899 779 810 921 924|black
1654||9|902 899 779 217 210 249 323 125 466|black
1656697||6|902 899 779 217 298 363|black
1659962||4|902 899 779 364|black
166||9999||white
1660225||6|902 899 779 217 261 881|black
16632545||8|902 899 779 217 210 249 323 125|black
16640016||4|902 899 779 222|black
16674712||6|902 899 779 217 261 881|black
166846||6|902 899 779 364 912 484|black
167||4|902 899 779 364|black
1670732||9|902 899 779 217 210 249 323 125 937|black
1672181||8|902 899 779 217 170 349 388 408|black
1678616||5|902 899 779 217 334|black
1679186||6|902 899 779 217 298 363|black
168|101,114,170,175,187,204,209,210,341,349,806,807,330722,864744,1065372,1198589,24706677,27072129|5|902 899 779 217 170|black
168008||6|902 899 779 810 921 924|black
1687170||4|902 899 779 810|black
16876539||10|902 899 779 217 210 249 323 125 330 424|gray
169|340,24285,50759,91770,1259225,1458701,3490848,16428258,62444479|9999||white
1690388||6|902 899 779 217 219 286|black
1696480||4|902 899 779 364|black
1697255||4|902 899 779 810|black
170|101,168,173,175,187,202,204,209,210,217,222,298,341,349,691,806,807,91770,1198589|4|902 899 779 217|black
1700463||6|902 899 779 217 261 881|black
1705||6|902 899 779 810 921 917|black
1706379||6|902 899 779 217 170 806|black
1712621||4|902 899 779 810|black
1713525||6|902 899 779 217 261 881|black
172||9999||white
1722093||4|902 899 779 810|black
1722793||5|902 899 779 364 176|black
1723317||5|902 899 779 217 219|black
172910||6|902 899 779 364 176 371|black
